netral;positif;negatif
update;cepat;lambat
biasa;stabil;lag
standar;lancar;putus-putus
normal;sinyal kuat;jelek
wajar;jangkauan bagus;buruk
jawab;jaringan luas;sinyal hilang
informasi;ramah;lemot
menunggu;responsif;cuek
proses;bantu;kasar
sesuai;cekatan;tidak membantu
cukup;menyenangkan;mengecewakan
lumayan;murah;mahal
rata-rata;promo;overcharge
biasa aja;diskon;tidak sesuai
;bonus;bohong
;puas;kecewa
;terbaik;frustasi
;memadai;payah
;direkomendasikan;kontol
;aktif;ngelag
;bisa;ngentot
;dukung;anjing
;benar;anj
;gampang;fak
;kejutan;monyet
;keren;busuk
;boleh;tunggu
;hadiah;nihil
;gratis;susah
;percaya;lama
;selamat;jauh
;semangat;mati
;semoga;keluh
;senang;komplain
;senyum;kalah
;seru;kendala
;setia;error
;sukses;habis
;terimakasih;gangguan
;baik;burik
;juara;
;untung;
;menang;
;oke;
